3950,23電子.csv
公司,年,市值(百萬元),dmv1,dmv2,股東權益總額,dna1,dna2,本期稅後淨利,de1,de2,營業費用─研究發展,rd1,rd2,普通股─現金股利,dd1,dd2,利息支出,di1,di2,現金及約當現金,dcash,資產總額,固定資產,ROA(C)稅前息前折舊前,ROAP,十大股東持股(不含董監)%,GOVP,負債比率％,負債總額,流動負債,流動資產
,,,dmv1,dmv2,,dna1,dna2,,de1,de2,,rd1,rd2,,dd1,dd2,,di1,di2,,dcash,,,,ROAP,,GOVP,,,,
1437 勤益,12/28/1991,7413,NA,NA,1910249,NA,NA,48816,NA,NA,0,NA,NA,39020,NA,NA,7926,NA,NA,288134,NA,2293900,774870,4.78,NA,26.58,NA,16.72,383651,97800,990913
1437 勤益,12/29/1992,4614,-2799,NA,1923684,13435,NA,52455,3639,NA,0,0,NA,0,-39020,NA,5625,-2301,NA,180133,-108001,2305309,798429,5.02,4.78,7.23,26.58,16.55,381625,88804,831570
1437 勤益,12/31/1993,12632,8018,5219,1989087,65403,78838,65702,13247,16886,0,0,0,23412,23412,-15608,2629,-2996,-5297,78627,-101506,2345028,852213,4.97,5.02,0.74,7.23,15.18,355941,62014,895078
1437 勤益,12/31/1994,7316,-5316,2702,1970740,-18347,47056,9343,-56359,-43112,0,0,0,0,-23412,0,13487,10858,7862,127926,49299,2624214,898540,2.52,4.97,0.74,0.74,24.9,653474,344753,1010064
1437 勤益,12/30/1995,4635,-2681,-7997,2020672,49932,31585,48296,38953,-17406,0,0,0,0,0,-23412,12358,-1129,9729,122020,-5906,2556987,889647,1.78,2.52,7.22,0.74,20.97,536315,114733,834612
1437 勤益,12/31/1996,5794,1159,-1522,2071471,50799,100731,50483,2187,41140,0,0,0,0,0,0,5105,-7253,-8382,80898,-41122,2663759,853629,3.5,1.78,6.3,7.22,22.24,592288,168229,914265
1437 勤益,12/31/1997,7427,1633,2792,2192716,121245,172044,113160,62677,64864,0,0,0,0,0,0,10011,4906,-2347,97687,16789,2859696,824418,3.84,3.5,6.89,6.3,23.32,666980,219678,992273
1437 勤益,12/31/1998,3584,-3843,-2210,2181175,-11541,109704,-1365,-114525,-51848,0,0,0,0,0,0,22439,12428,17334,44995,-52692,2974369,819029,1.3,3.84,6.74,6.89,26.67,793194,284326,1002281
1437 勤益,12/28/1999,1839,-1745,-5588,2107728,-73447,-84988,-36768,-35403,-149928,0,0,0,0,0,0,20622,-1817,10611,44995,0,2885587,792017,-1.83,1.3,6.7,6.74,26.96,777859,252830,945103
