公司,年,市值(百萬元),股東權益總額,本期稅後淨利,營業費用─研究發展,普通股─現金股利,利息支出,現金及約當現金,資產總額,固定資產,ROA(C)稅前息前折舊前,十大股東持股(不含董監)%,負債比率％,負債總額,流動負債,流動資產
,,,,,,,,,,,,,,,,
1437 勤益,12/28/1991,7413,1910249,48816,0,39020,7926,288134,2293900,774870,4.78,26.58,16.72,383651,97800,990913
1437 勤益,12/29/1992,4614,1923684,52455,0,0,5625,180133,2305309,798429,5.02,7.23,16.55,381625,88804,831570
1437 勤益,12/31/1993,12632,1989087,65702,0,23412,2629,78627,2345028,852213,4.97,0.74,15.18,355941,62014,895078
1437 勤益,12/31/1994,7316,1970740,9343,0,0,13487,127926,2624214,898540,2.52,0.74,24.9,653474,344753,1010064
1437 勤益,12/30/1995,4635,2020672,48296,0,0,12358,122020,2556987,889647,1.78,7.22,20.97,536315,114733,834612
1437 勤益,12/31/1996,5794,2071471,50483,0,0,5105,80898,2663759,853629,3.5,6.3,22.24,592288,168229,914265
1437 勤益,12/31/1997,7427,2192716,113160,0,0,10011,97687,2859696,824418,3.84,6.89,23.32,666980,219678,992273
1437 勤益,12/31/1998,3584,2181175,-1365,0,0,22439,44995,2974369,819029,1.3,6.74,26.67,793194,284326,1002281
1437 勤益,12/28/1999,1839,2107728,-36768,0,0,20622,44995,2885587,792017,-1.83,6.7,26.96,777859,252830,945103
1437 勤益,12/30/2000,943,2141759,21853,0,0,24735,96070,3125079,882009,-2.05,6.69,31.47,983320,589495,1020325
1437 勤益,12/31/2001,974,2012344,-134527,0,0,35105,35150,3168712,932561,-1.18,6.56,36.49,1156368,739373,900328
1437 勤益,12/31/2002,1100,2062205,62523,0,0,31956,62476,3862232,1481391,0.68,7.09,46.61,1800027,894648,1004493
1437 勤益,12/31/2003,2468,2739713,-211915,0,0,46327,46540,4334116,938282,1.36,24.44,36.79,1594403,1087909,1095115
1437 勤益,12/31/2004,1974,2694699,154494,0,0,34572,48141,4812902,993364,8.5,23.78,44.01,2118203,1112298,1312815
1437 勤益,12/30/2005,1923,2341682,-386324,6704,0,31589,44226,4484033,850144,-1.82,23.3,47.78,2142351,930563,1049284
1437 勤益,12/29/2006,5284,3203468,335279,8991,0,32735,106020,4782910,676761,11.74,18.08,33.02,1579442,604793,1210522
1437 勤益,12/31/2007,3548,3644641,209062,9839,40793,33749,145905,5071127,715094,9.53,24.42,28.13,1426486,717806,1175684
1437 勤益,12/31/2008,1619,3436137,-252015,8446,0,28556,117705,4484673,633562,-0.19,23.7,23.38,1048536,296225,639821
1437 勤益,12/31/2009,4619,3426374,45554,4610,0,10116,101211,4363889,532242,4.28,27.76,21.48,937515,430143,695552
1437 勤益,12/31/2010,5547,3709798,159432,4920,30595,7308,101352,4574611,529091,6.19,20.67,18.9,864813,444225,704285
1437 勤益,12/30/2011,2814,3556991,-127080,2230,0,8992,38691,4422502,719958,-0.84,21.23,19.57,865511,633372,430835
1471 首利,12/28/1999,1016,1428593,118089,7683,0,37864,152796,2497643,1457145,9.58,23.27,42.8,1069050,782689,975727
1471 首利,12/30/2000,603,1308974,-99012,8247,0,56283,554117,3044274,1360985,2.23,21.55,57,1735300,1432334,1439541
1471 首利,12/31/2001,370,1226389,-92529,2470,0,63336,437129,2328959,1253224,2.13,21.55,47.34,1102570,856074,871393
1471 首利,12/31/2002,860,1248453,19151,3298,0,24696,122213,2278663,1411065,5.4,21.55,45.21,1030210,906169,673848
1471 首利,12/31/2003,2354,1323818,71602,7307,0,7049,316301,1904713,89817,4.45,24.15,30.5,580895,580525,1631700
1471 首利,12/31/2004,2401,1441889,118071,16947,0,468,470097,2417569,315904,8.24,24.15,40.36,975680,973343,1769877
1471 首利,12/30/2005,6100,1729014,271440,25364,0,1465,283580,3016944,332607,14.95,0.04,42.69,1287930,1276053,2107183
1471 首利,12/29/2006,5090,1626673,-129551,18933,0,6018,429685,3280039,307928,-0.28,0.04,50.41,1653366,1646317,2410547
1471 首利,12/31/2007,4100,2242974,22740,22413,0,11327,555277,3824040,421324,2.63,0.03,41.35,1581066,1574485,2751542
1471 首利,12/31/2008,1423,1985280,-293095,14882,0,13801,343731,2947780,361172,-2.61,19.87,32.65,962500,946362,1616412
1471 首利,12/31/2009,6785,2622310,192602,10417,0,5270,464703,4347379,346164,7.02,24.05,39.68,1725069,1722049,2474236
1471 首利,12/31/2010,4049,2850036,-127944,12485,0,1350,478542,4038992,259783,-1.04,18.17,29.44,1188956,1186189,1920893
1471 首利,12/30/2011,2034,2887337,-95403,9297,0,121,297673,3844193,199897,-0.75,17.54,24.89,956856,954281,1701476
1582 信錦,12/31/2007,4606,1403948,376761,20857,249000,246,41390,1692687,131718,33.77,27.26,17.06,288739,129512,561690
1582 信錦,12/31/2008,5825,3554348,338773,29004,405506,1219,78544,4283880,142881,15.51,6.48,17.03,729532,314075,381949
1582 信錦,12/31/2009,11439,3815231,769484,50522,611305,5217,109724,5081803,125693,17.99,25.89,24.92,1266572,818543,448429
1582 信錦,12/31/2010,6686,3496934,523123,75641,476143,13073,140392,5047033,122255,10.49,21.42,30.71,1550099,1162487,544965
1582 信錦,12/30/2011,4427,3944667,505382,72648,409915,25363,107021,6001085,115874,11.36,19.29,34.27,2056418,1116897,881908
2059 川湖,12/30/2005,10919,1391268,516126,24809,221712,1711,613269,1740352,507046,45.55,17.24,20.06,349084,298765,1225380
2059 川湖,12/29/2006,11141,1706937,561600,31714,234920,835,869172,2108689,620316,40.9,17.74,19.05,401752,350735,1443775
2059 川湖,12/31/2007,13536,2185945,632757,43982,297505,22537,906913,3462615,597529,29.65,24.22,36.87,1276670,362644,1816168
2059 川湖,12/31/2008,6908,2656904,786135,77380,235512,25059,1471996,4037199,594288,28.3,24.65,34.19,1380295,465800,2320070
2059 川湖,12/31/2009,15162,3230874,648442,85251,438667,26513,1828798,4973611,545260,18.94,24.28,35.04,1742737,1254566,2615516
2059 川湖,12/31/2010,13587,3574165,704450,69430,506661,35963,2086236,5261653,498402,17.74,22.08,32.07,1687488,381312,2751240
2059 川湖,12/30/2011,13271,3975995,898169,66895,415449,36263,2043319,5668906,481243,19.68,25.69,29.86,1692911,1629605,2854874
2301 光寶科,12/30/1995,6899,2184986,633439,88037,73920,96453,559730,7039986,234165,16.07,14.68,68.96,4855000,4814738,5867870
2301 光寶科,12/31/1996,12233,5968099,782309,147217,0,186354,1412164,10531949,413166,12.3,19.93,43.33,4563850,2737387,7697608
2301 光寶科,12/31/1997,19827,7005137,1086301,301740,166253,272575,3350566,19325736,1490929,6.17,15.02,63.75,12320599,5750079,13410931
2301 光寶科,12/31/1998,11152,7965088,-1051002,232791,0,587067,4172638,19266636,938879,-0.35,12.25,58.66,11301548,5758320,11982234
