m,year,GOV,Cash/TA
1101 台泥,1991,8.61,0.055394576
1101 台泥,1992,4.11,0.006344703
1101 台泥,1993,0,0.007780262
1101 台泥,1994,0.23,0.016903152
1101 台泥,1995,0.23,0.007735859
1101 台泥,1996,9.6,0.010455772
1101 台泥,1997,10.85,0.008090396
1101 台泥,1998,9.27,0.002575692
1101 台泥,1999,17.09,0.004638832
1101 台泥,2000,17.79,0.010506743
1101 台泥,2001,25.26,0.002063789
1101 台泥,2002,23.55,0.003956001
1101 台泥,2003,18.15,0.003498271
1101 台泥,2004,13.41,0.014007314
1101 台泥,2005,13.28,0.054133695
1101 台泥,2006,22.9,0.029967886
1101 台泥,2007,20.15,0.003574336
1101 台泥,2008,9.94,0.022467073
1101 台泥,2009,8.61,0.01158142
1101 台泥,2010,6.62,0.105410861
1101 台泥,2011,9.31,0.018837015
1102 亞泥,1991,0.19,0.010155471
1102 亞泥,1992,0.19,0.013476264
1102 亞泥,1993,0.78,0.013380246
1102 亞泥,1994,1,0.017279405
1102 亞泥,1995,1.06,0.015134511
1102 亞泥,1996,15.24,0.027033327
1102 亞泥,1997,14.11,0.023412112
1102 亞泥,1998,12.83,0.019484935
1102 亞泥,1999,21.13,0.026520334
1102 亞泥,2000,11.49,0.033801457
1102 亞泥,2001,0.97,0.014427993
1102 亞泥,2002,25.45,0.007003901
1102 亞泥,2003,25.45,0.008155356
1102 亞泥,2004,22.12,0.030442553
1102 亞泥,2005,19.4,0.030553738
1102 亞泥,2006,20.05,0.005866824
1102 亞泥,2007,17.35,0.008719683
1102 亞泥,2008,14.52,0.041813296
1102 亞泥,2009,15.87,0.072377763
1102 亞泥,2010,14.67,0.017947812
1102 亞泥,2011,15.21,0.046588792
1103 嘉泥,1991,7.86,0.088639284
1103 嘉泥,1992,6.87,0.089929559
1103 嘉泥,1993,0.32,0.051925958
1103 嘉泥,1994,0.33,0.038016571
1103 嘉泥,1995,0.32,0.083424671
1103 嘉泥,1996,0.32,0.14847739
1103 嘉泥,1997,0.32,0.147171191
1103 嘉泥,1998,0.32,0.070481531
1103 嘉泥,1999,1.16,0.01683162
1103 嘉泥,2000,1.16,0.017894295
1103 嘉泥,2001,0.01,0.018671793
1103 嘉泥,2002,0.01,0.017284859
1103 嘉泥,2003,26.04,0.028920345
1103 嘉泥,2004,24.28,0.092246559
1103 嘉泥,2005,25.5,0.09749742
1103 嘉泥,2006,27.72,0.07803678
1103 嘉泥,2007,23.8,0.086584654
1103 嘉泥,2008,23.13,0.08097083
1103 嘉泥,2009,25.47,0.039960488
1103 嘉泥,2010,22.61,0.016745205
